"","ccode","year","ID","Nu_means","Nu_lower_80","Nu_upper_80","Nu_lower_95","Nu_upper_95","ura_i","metal_i","chemi_i","nitric_i","elect_i","nuke_i","explo_i","Non_HWR","HWR","test","reprocess","enrichment","submarines","explore","pursue","possession","Nu_infrastructure","Infrastructure_lower80","Infrastructure_upper80","Infrastructure_lower95","Infrastructure_upper95"
"779",20,1949,201949,1.182954088,0.892873793,1.462533426,0.73885368,1.587306394,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1.27383011267283,0.858316924351183,1.68963311013082,0.645476523907041,1.89406952831189
"780",20,1950,201950,1.181856541,0.886700354,1.474088416,0.726884741,1.598435335,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1.27724022653669,0.855288582438302,1.69728515549886,0.640327613736174,1.89797098098591
"781",20,1951,201951,1.181845303,0.892807027,1.461542056,0.722065239,1.597353755,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1.27795572671667,0.852840582083211,1.69924531505353,0.644869381404585,1.90622071407364
"782",20,1952,201952,1.180302359,0.882142133,1.459889716,0.726598796,1.582742544,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1.27246014848079,0.839710433994226,1.70904860127724,0.622689898256285,1.89591057647917
"783",20,1953,201953,1.177761978,0.873976588,1.466016221,0.71506804,1.590769896,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1.27355898388491,0.845980371505768,1.70400704227681,0.633810544233753,1.90264304632136
"784",20,1954,201954,1.181797055,0.888287504,1.464451099,0.719122008,1.584646883,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1.27548560685414,0.840921036005691,1.70557004897089,0.620860267576015,1.91753008925267
"785",20,1955,201955,1.178491847,0.879790482,1.469935556,0.709358197,1.598032118,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1.27295466764083,0.857416095725351,1.68886156942929,0.638760828540628,1.89770836212663
"786",20,1956,201956,1.178696577,0.882225374,1.457712756,0.709300683,1.590866103,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1.27742616568954,0.849797316068715,1.70555720837784,0.650517858389796,1.9158120921873
"787",20,1957,201957,0.92559362,0.622707232,1.228920285,0.483162703,1.385115309,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.978790354764588,0.582230267451226,1.40017730631034,0.431106141705765,1.61136049141956
"788",20,1958,201958,0.921589541,0.620259651,1.223132457,0.475755169,1.380876276,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.980531231777653,0.59356971481774,1.38425432952316,0.426824582111104,1.62332964891295
"789",20,1959,201959,0.925195608,0.617843171,1.237604376,0.469268713,1.395689926,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.98098054913701,0.584457809012954,1.389581501947,0.424600874245109,1.63979449802995
"790",20,1960,201960,0.924051625,0.6171746,1.2262688,0.475854183,1.392735766,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.979415280860244,0.584914147545333,1.37970183514445,0.420910818174989,1.63263047955762
"791",20,1961,201961,0.921659011,0.621491394,1.229075558,0.476004532,1.377517809,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.97508695472005,0.585364669663313,1.38419653253726,0.414959483559486,1.61235020053936
"792",20,1962,201962,1.044101161,0.739653935,1.349644099,0.592078884,1.494825634,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.20597354914509,0.795241051261708,1.62088231524744,0.594169721861895,1.81029181353691
"793",20,1963,201963,1.044545275,0.737124162,1.345828288,0.582418959,1.479806943,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.19782141986717,0.776315307458931,1.62722117368099,0.564494295881864,1.83757243454282
